Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-11-03,84.08,84.54,83.4,84.14,17569120.0,0.0,1.0,84.08,84.54,83.4,84.14,17569120.0
2017-11-02,83.35,84.46,83.12,84.05,23822964.0,0.0,1.0,83.35,84.46,83.12,84.05,23822964.0
2017-11-01,83.68,83.76,82.88,83.18,22039635.0,0.0,1.0,83.68,83.76,82.88,83.18,22039635.0
2017-10-31,84.36,84.36,83.11,83.18,26728947.0,0.0,1.0,84.36,84.36,83.11,83.18,26728947.0
2017-10-30,83.7,84.325,83.105,83.89,31291801.0,0.0,1.0,83.7,84.325,83.105,83.89,31291801.0
2017-10-27,84.37,86.2,83.61,83.81,70877350.0,0.0,1.0,84.37,86.2,83.61,83.81,70877350.0
2017-10-26,79.2,79.42,78.75,78.76,29181652.0,0.0,1.0,79.2,79.42,78.75,78.76,29181652.0
2017-10-25,78.58,79.1,78.01,78.63,19714512.0,0.0,1.0,78.58,79.1,78.01,78.63,19714512.0
2017-10-24,78.9,79.2,78.46,78.86,16613928.0,0.0,1.0,78.9,79.2,78.46,78.86,16613928.0
2017-10-23,78.99,79.34,78.76,78.83,20479731.0,0.0,1.0,78.99,79.34,78.76,78.83,20479731.0
2017-10-20,78.32,78.97,78.22,78.81,22517092.0,0.0,1.0,78.32,78.97,78.22,78.81,22517092.0
2017-10-19,77.57,77.93,77.35,77.91,14982129.0,0.0,1.0,77.57,77.93,77.35,77.91,14982129.0
2017-10-18,77.67,77.85,77.37,77.61,13147124.0,0.0,1.0,77.67,77.85,77.37,77.61,13147124.0
2017-10-17,77.47,77.62,77.25,77.59,15953665.0,0.0,1.0,77.47,77.62,77.25,77.59,15953665.0
2017-10-16,77.42,77.81,77.35,77.65,12331147.0,0.0,1.0,77.42,77.81,77.35,77.65,12331147.0
2017-10-13,77.59,77.87,77.29,77.49,15250772.0,0.0,1.0,77.59,77.87,77.29,77.49,15250772.0
2017-10-12,76.49,77.29,76.37,77.12,16778148.0,0.0,1.0,76.49,77.29,76.37,77.12,16778148.0
2017-10-11,76.36,76.46,75.95,76.42,14780652.0,0.0,1.0,76.36,76.46,75.95,76.42,14780652.0
2017-10-10,76.33,76.63,76.14,76.29,13734627.0,0.0,1.0,76.33,76.63,76.14,76.29,13734627.0
2017-10-09,75.97,76.55,75.86,76.29,11364275.0,0.0,1.0,75.97,76.55,75.86,76.29,11364275.0
2017-10-06,75.67,76.03,75.54,76.0,13692791.0,0.0,1.0,75.67,76.03,75.54,76.0,13692791.0
2017-10-05,75.22,76.12,74.96,75.97,20656238.0,0.0,1.0,75.22,76.12,74.96,75.97,20656238.0
2017-10-04,74.0,74.72,73.71,74.69,13287346.0,0.0,1.0,74.0,74.72,73.71,74.69,13287346.0
2017-10-03,74.67,74.88,74.195,74.26,11935853.0,0.0,1.0,74.67,74.88,74.195,74.26,11935853.0
2017-10-02,74.71,75.01,74.295,74.61,15210338.0,0.0,1.0,74.71,75.01,74.295,74.61,15210338.0
2017-09-29,73.94,74.535,73.88,74.49,16700435.0,0.0,1.0,73.94,74.535,73.88,74.49,16700435.0
2017-09-28,73.54,73.97,73.31,73.87,10814063.0,0.0,1.0,73.54,73.97,73.31,73.87,10814063.0
2017-09-27,73.55,74.17,73.17,73.85,18934048.0,0.0,1.0,73.55,74.17,73.17,73.85,18934048.0
2017-09-26,73.67,73.81,72.99,73.26,17105469.0,0.0,1.0,73.67,73.81,72.99,73.26,17105469.0
2017-09-25,74.09,74.25,72.92,73.26,23502422.0,0.0,1.0,74.09,74.25,72.92,73.26,23502422.0
2017-09-22,73.99,74.51,73.85,74.41,13969937.0,0.0,1.0,73.99,74.51,73.85,74.41,13969937.0
2017-09-21,75.11,75.24,74.11,74.21,19038998.0,0.0,1.0,75.11,75.24,74.11,74.21,19038998.0
2017-09-20,75.35,75.55,74.31,74.94,20415084.0,0.0,1.0,75.35,75.55,74.31,74.94,20415084.0
2017-09-19,75.21,75.71,75.01,75.44,15606870.0,0.0,1.0,75.21,75.71,75.01,75.44,15606870.0
2017-09-18,75.23,75.97,75.04,75.16,22730355.0,0.0,1.0,75.23,75.97,75.04,75.16,22730355.0
2017-09-15,74.83,75.39,74.07,75.31,37901927.0,0.0,1.0,74.83,75.39,74.07,75.31,37901927.0
2017-09-14,75.0,75.49,74.52,74.77,15373384.0,0.0,1.0,75.0,75.49,74.52,74.77,15373384.0
2017-09-13,74.93,75.23,74.55,75.21,12998629.0,0.0,1.0,74.93,75.23,74.55,75.21,12998629.0
2017-09-12,74.76,75.24,74.37,74.68,14003880.0,0.0,1.0,74.76,75.24,74.37,74.68,14003880.0
